vehicle_id,make,model,year,mileage,price,url,image,state_of_vehicle,address,body_style
37110019,Ram,1500 BIG HORN/LONE STAR,2019,96137,28995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ram/1500-big-hornlone-star/ram-1500-big-hornlone-star-2019-id37110019,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/ram/1500/2019/37110019/37110019_07412_2019-ram-1500_001.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
37009119,Ram,1500 CLASSIC TRADESMAN *GARANTIE 5 ANS / 100 000KM*,2022,100000,36995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ram/1500-classic-tradesman/ram-1500-classic-tradesman-2022-id37009119,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/ram/1500-classic/2022/37009119/37009119_02990_2022-ram-1500-classic_001.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
36953067,Ram,1500 CLASSIC SLT,2022,58907,34995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ram/1500-classic-slt/ram-1500-classic-slt-2022-id36953067,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/ram/1500-classic-slt/2022/36953067/36953067_03341_2022-ram-1500-classic-slt_001.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
36905637,Ram,1500 BIG HORN/LONE STAR,2022,50553,46995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ram/1500-big-hornlone-star/ram-1500-big-hornlone-star-2022-id36905637,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/ram/1500-big-horn-lone-star/2022/36905637/36905637_07517_2022-ram-1500-big-horn-lone-star_001.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
36905639,Ram,2500 BIG HORN,2024,58652,69995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ram/2500-big-horn/ram-2500-big-horn-2024-id36905639,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/ram/2500-big-horn/2024/36905639/36905639_07277_2024-ram-2500-big-horn_001.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
36722057,Ram,2500 TRADESMAN,2024,22,57995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ram/2500-tradesman/ram-2500-tradesman-2024-id36722057,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/ram/2500-tradesman/2024/36722057/36722057_09610_2024-ram-2500-tradesman_001.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
36511229,Ram,1500 TRADESMAN,2021,97207,34995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ram/1500-tradesman/ram-1500-tradesman-2021-id36511229,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/ram/1500-tradesman/2021/36511229/36511229_04771_2021-ram-1500-tradesman_017.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
36414310,Ram,1500 CLASSIC SLT,2023,56876,37995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ram/1500-classic-slt/ram-1500-classic-slt-2023-id36414310,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/ram/1500-classic-slt/2023/36414310/36414310_02897_2023-ram-1500-classic-slt_001.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
36252412,Ram,1500 BIG HORN/LONE STAR,2022,43251,42995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ram/1500-big-hornlone-star/ram-1500-big-hornlone-star-2022-id36252412,https://img.sm360.ca/images/inventory/kennebecdodgechryslerincorporated-508/ram/1500-big-horn-lone-star/2022/36252412/36252412_03459_2022-ram-1500-big-horn-lone-star_001.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
37355052,Ram,PROMASTER 2500 HIGH,2023,43772,40995 CAD,https://www.kennebecdodge.ca/fr/inventaire-occasion/ram/promaster-2500-high/ram-promaster-2500-high-2023-id37355052,https://img.sm360.ca/images/web/kennebecdodgechryslerincorporated-203/4138/logo-header1690909139246.png,used,"1887 83e rue, Saint-Georges, QC G6A 1M9",
